previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
small sized slide on right facing left against edge and top platform align w horizon . surprised boy standing arm on hip	is the boy on top of the slide ? beside the slide ?	standing in front of it . half level w bottom of slide . armpit at horizon level . dog next to him facing left . 1 2 inch to the left	1	
a kid in a blue shirt in front of a swing set , sun over the swingset .	they are left of right .	kid is on left , swings behind him and sun above swing set	1	
medium boy sit on the left in the medium level while smiling with arms out to left and right .	how far is he from the edge of the grass	center of boy is about . 75 inches away from the left . the boy holds a burger on his left hand .	1	
boy sitting between pie and tree with winter hat on facing right	smiling or just mouth open ?	yes , girl kneeling on right of pie	1	
duck facing right . have both them with one of their arms up , and you got it	balloons and mustard in right hands ?		1	
right	great . anything else ?	can i check	0	
1 4 inch right of girl feet soccer ball , 1 inch right of ball medium hole tree hole on right	is the tree near the plane ? like in the middle of the grass ?	yes , nose almost touches . on right of tree boy sitting hand behind him off right edge faces left on top of top foot cat faces left	1	
the boy is walking and looks surprised . he is facing the left	where is she facing	she is facing the right . so is the dog and duck . the helicopter is facing the left	0	
next on the left of the dog is a sandbox	does the sandbox go down to the bottom or where is it located in relation to the grass ?	the tree is in back of the sandbox . a cat in behind the tree	1	
her hand almost touches the right side . the big fire is right in the middle . she is sitting . smile . legs out sorry .	it 's all good , ready	same with him . he is under the back of plane facing right . hand cuts off . he is same distance from her . hot dog his hand hamburger in hers	0	
on the left side is a medium sandbox , in the sandbox 2 kids facing left . both yoga style , angry boy sad girl	what size kids	medium . the boy is holding a shovel , girl is on the right of the sandbox , boy is on the let of the sandbox .	1	
great working with you ! sending now	thank you , you 're a nice person , have a nice day ! ^_^		0	
pine tree in middle of grass with top off scene . rain cloud on upper left , girl	girl crying	girl to left of tree facing left arms up shocked , picnic table to right of tree with burger and hot dog on top	1	
no . she looks mad though	is she facing the left or right ?	left	1	
the boy has his shoulders above horizon , and there is room for one more hid his size between him and left side . he has striped hat .	is his teeth showing ?	no teeth .	1	
her feet line up with boys her hand lines up with the left edge of helicopter blade	where is she in relation to the horizon ?	her right hand touches the horizon she is wearing sunglasses	1	
---	done . is that it ?	---	0	
in the air . the girl and the boy are facing right and the cat is in the middle between the swings right under	is the cat facing the girl or away from the girl ?	cat facing left and rocket ship is small	1	
reduce the size of the all the objects to small	done everything small	move the swing to the edge , the boy sits in front of the swing and faces the girl	0	
hi ok , who 's who ?	i am the drawer . you are the teller .	a girl and a boy and a bbq pit	0	
---	how is the boy posed ?	---	0	
then small tree sorry about that . mike is med size jumping up smiling hands in air with purple lens glasses on facing right	mike is where	he is in line with bottom of fire to left of duck . jen is indian style facing left tennis racquet in left hand petting cat with right	1	
the boy is on the right under the rain cloud . facing left . the duck is at his feet facing him . facing right	let 's just keep going we 're going to run out of time . just give me what you 've got and you 'll check it later .	mad girl sitting . right across from him . her hand almost touches the left edge . she is level with the boy	0	
yes the bear is holding the food up girl is kicking	in what hands is the food ? left right ?	both . pie in my left , burger in my right .	1	
it does have a piece of the sun blocked by the tree	ok good , what else is there ?	left side of the sun blocked by the tree	0	
basically her eyebrows and up are above green . tips of fingers that 's it .	how much of the boy is above the green ?	from elbow up .	1	
thunderstorm	how about other things ?	dog	0	
	is the boy standing , sitting , and what is he doing ?	left top corner big size sun it 's little bit of top and left edge cut	0	
slide is a bit smaller bee a little more to right side girl has scared face and cat behind her left arm , not right	is the cat between the girl and the slide ?		1	
pine tree big left side some hidden , and behind it it balloon , barely see it	what size balloon	small	1	
under tree is dog facing right	ok . i have him not touching the tree .	dog and tree are good	0	
---	ok check please	---	0	
---	can you peek	---	0	
should be good	alright , nice working with you	same	0	
on right side of tree a happy girl runs , face right and wears a colorful hat .	are boy , tree and girl all large ?	kids large .	1	
below kicking girl big size wearing crown facing right eyebrow at horizon line	where is she on left or right	right . left side boy shocked arms up facing right wearing pirate hat and football about inch away from him in air	1	
sandbox small move to right edge of screen , boy med dog small , football med , airplane on other side of cloud	the boy is medium now		0	
---	is there a tree ?	---	0	
---	you too	---	0	
over on the right side is a small swing set with a happy girl swinging in the right swing .	alright , is that everything ?	yes it is , have a good day .	0	
---	were	---	0	
there is a pine tree in the very middle . medium size . the tip is cut off	can you see its base ?	yes	1	
boys mouth at horizon , girls thumb , bee ride ears	is the bee touching the girl ?	no , about 2 inches away from her elbow	1	
a pine tree to the right of the helicopter with the top and the two bottom right needles off the picture	is the pine tree hiding the helicopter	a duck at the bottom of the trunk of the pine tree . crying girl holding a can facing left between the trees .	1	
make sure to get hot dog in boys hand , otherwise it is good	done than		0	
